Y	M	D	H	Rain	Temp
0	0	9	13	0	28.2
0	0	9	14	0	28.8
0	0	9	15	0	28.75
0	0	9	16	0	27.85
0	0	9	17	0	25.2
0	0	9	18	0	17.8
0	0	9	19	0	12.55
0	0	9	20	0	10.35
0	0	9	21	0	10.9
0	0	9	22	0	9.8
0	0	9	23	0	9.65
0	0	10	0	0	9.55
0	0	10	1	0	9.55
0	0	10	2	0	9.1
0	0	10	3	0	6.25
0	0	10	4	0	6.55
0	0	10	5	0	5.85
0	0	10	6	0	6.65
0	0	10	7	0	9.05
0	0	10	8	0	18.3
0	0	10	9	0	22.15
0	0	10	10	0	24
0	0	10	11	0	25.55
0	0	10	12	0	27.1
0	0	10	13	0	27.75
0	0	10	14	0	28.2
0	0	10	15	0	27.8
0	0	10	16	0	26.6
0	0	10	17	0	24.3
0	0	10	18	0	17.45
0	0	10	19	0	12.9
0	0	10	20	0	11.7
0	0	10	21	0	11.85
0	0	10	22	0	10
0	0	10	23	0	10.75
0	0	11	0	0	8.9
0	0	11	1	0	9
0	0	11	2	0	7.9
0	0	11	3	0	9.1
0	0	11	4	0	8.85
0	0	11	5	0	8
0	0	11	6	0	6.25
0	0	11	7	0	9.6
0	0	11	8	0	19.3
0	0	11	9	0	22.75
0	0	11	10	0	24.1
0	0	11	11	0	25.85
0	0	11	12	0	27.25
0	0	11	13	0	28.2
0	0	11	14	0	28.4
0	0	11	15	0	28.15
0	0	11	16	0	27.4
0	0	11	17	0	24.8
0	0	11	18	0	18.15
0	0	11	19	0	13.6
0	0	11	20	0	12.05
0	0	11	21	0	11.05
0	0	11	22	0	11.55
0	0	11	23	0	10.35
0	0	12	0	0	10.3
0	0	12	1	0	10.4
0	0	12	2	0	9.3
0	0	12	3	0	8.05
0	0	12	4	0	6.05
0	0	12	5	0	6.15
0	0	12	6	0	4.15
0	0	12	7	0	10
0	0	12	8	0	19.05
0	0	12	9	0	21.05
0	0	12	10	0	23.2
0	0	12	11	0	25.7
0	0	12	12	0	27.15
0	0	12	13	0	28.4
0	0	12	14	0	28.5
0	0	12	15	0	28.5
0	0	12	16	0	27.65
0	0	12	17	0	25.05
0	0	12	18	0	17.9
0	0	12	19	0	13.8
0	0	12	20	0	12.35
0	0	12	21	0	12.15
0	0	12	22	0	11.75
0	0	12	23	0	10.65
0	0	13	0	0	10.65
0	0	13	1	0	8.7
0	0	13	2	0	8.8
0	0	13	3	0	6.65
0	0	13	4	0	7.1
0	0	13	5	0	6
0	0	13	6	0	4.65
0	0	13	7	0	7.9
0	0	13	8	0	18.45
0	0	13	9	0	21.8
0	0	13	10	0	23.5
0	0	13	11	0	25.15
0	0	13	12	0	26.3
0	0	13	13	0	27.6
0	0	13	14	0	27.9
0	0	13	15	0	27.95
0	0	13	16	0	27.55
0	0	13	17	0	24.35
0	0	13	18	0	17.1
0	0	13	19	0	13.95
0	0	13	20	0	12.95
0	0	13	21	0	12.85
0	0	13	22	0	11.6
0	0	13	23	0	12.05
0	0	14	0	0	9.55
0	0	14	1	0	9.05
0	0	14	2	0	6.85
0	0	14	3	0	6.8
0	0	14	4	0	5.45
0	0	14	5	0	4.35
0	0	14	6	0	2.5
0	0	14	7	0	9.8
0	0	14	8	0	18
0	0	14	9	0	20
0	0	14	10	0	21.75
0	0	14	11	0	23.6
0	0	14	12	0	25.35
0	0	14	13	0	26.85
0	0	14	14	0	27.5
0	0	14	15	0	27.65
0	0	14	16	0	26.8
0	0	14	17	0	24.4
0	0	14	18	0	17.25
0	0	14	19	0	12.5
0	0	14	20	0	11.4
0	0	14	21	0	9.55
0	0	14	22	0	9.3
0	0	14	23	0	7.45
0	0	15	0	0	7.4
0	0	15	1	0	5.7
0	0	15	2	0	5.75
0	0	15	3	0	5.15
0	0	15	4	0	4.05
0	0	15	5	0	8.8
0	0	15	6	0	13.75
0	0	15	7	0	15.3
0	0	15	8	0	19.1
0	0	15	9	0	20.7
0	0	15	10	0	22.55
0	0	15	11	0	24.2
0	0	15	12	0	25.8
0	0	15	13	0	26.45
0	0	15	14	0	26.75
0	0	15	15	0	26.75
0	0	15	16	0	25.9
0	0	15	17	0	23.45
0	0	15	18	0	16.3
0	0	15	19	0	11.8
0	0	15	20	0	11.15
0	0	15	21	0	10.15
0	0	15	22	0	8.7
0	0	15	23	0	9
0	0	16	0	0	8.45
0	0	16	1	0	7.75
0	0	16	2	0	6.3
0	0	16	3	0	5.15
0	0	16	4	0	4.25
0	0	16	5	0	5.05
0	0	16	6	0	4.05
0	0	16	7	0	11.55
0	0	16	8	0	18.95
0	0	16	9	0	21.2
0	0	16	10	0	23.2
0	0	16	11	0	25.05
0	0	16	12	0	26.45
0	0	16	13	0	27.2
0	0	16	14	0	26.95
0	0	16	15	0	27.3
0	0	16	16	0	26.3
0	0	16	17	0	24.3
0	0	16	18	0	18.15
0	0	16	19	0	13.3
0	0	16	20	0	11.75
0	0	16	21	0	9.9
0	0	16	22	0	9.65
0	0	16	23	0	8.1
0	0	17	0	0	7.65
0	0	17	1	0	7.55
0	0	17	2	0	7.3
0	0	17	3	0	7
0	0	17	4	0	5.45
0	0	17	5	0	4.55
